month,wea,density,constraint
April,OCS-A 0486,0.008729501664638518,0km
August,OCS-A 0486,2.763402760028839e-4,0km
December,OCS-A 0486,0.0044013625681400305,0km
February,OCS-A 0486,0.009994387984275818,0km
January,OCS-A 0486,0.007529464602470398,0km
July,OCS-A 0486,2.963775191456079e-4,0km
June,OCS-A 0486,7.459559291601181e-4,0km
March,OCS-A 0486,0.010805429577827454,0km
May,OCS-A 0486,0.0035800693929195406,0km
November,OCS-A 0486,0.0013684507906436922,0km
October,OCS-A 0486,7.87546657025814e-4,0km
September,OCS-A 0486,4.391103610396385e-4,0km
April,OCS-A 0486,0.009813671827316284,10km
August,OCS-A 0486,3.186449408531189e-4,10km
December,OCS-A 0486,0.005034131288528442,10km
February,OCS-A 0486,0.010726283788681033,10km
January,OCS-A 0486,0.008349845290184024,10km
July,OCS-A 0486,3.468688726425171e-4,10km
June,OCS-A 0486,8.775885403156282e-4,10km
March,OCS-A 0486,0.010996843576431275,10km
May,OCS-A 0486,0.004349113166332245,10km
November,OCS-A 0486,0.0015113632678985598,10km
October,OCS-A 0486,9.561006873846055e-4,10km
September,OCS-A 0486,5.009425282478332e-4,10km
April,OCS-A 0486,0.008313794314861298,40km
August,OCS-A 0486,2.844382114708424e-4,40km
December,OCS-A 0486,0.004210466802120208,40km
February,OCS-A 0486,0.009239738941192628,40km
January,OCS-A 0486,0.007338919162750245,40km
July,OCS-A 0486,3.261082209646702e-4,40km
June,OCS-A 0486,7.644051536917687e-4,40km
March,OCS-A 0486,0.00942168402671814,40km
May,OCS-A 0486,0.004105431407690051,40km
November,OCS-A 0486,0.0013098765164613725,40km
October,OCS-A 0486,8.330672830343248e-4,40km
September,OCS-A 0486,4.426590241491795e-4,40km
April,OCS-A 0486,0.0043334742188453675,Southern New England
August,OCS-A 0486,1.9587413035333174e-4,Southern New England
December,OCS-A 0486,0.0013812251687049873,Southern New England
February,OCS-A 0486,0.004139666587114335,Southern New England
January,OCS-A 0486,0.0027349060475826263,Southern New England
July,OCS-A 0486,2.3316309042274968e-4,Southern New England
June,OCS-A 0486,5.562870614230634e-4,Southern New England
March,OCS-A 0486,0.00410447520017624,Southern New England
May,OCS-A 0486,0.0023887877315282827,Southern New England
November,OCS-A 0486,6.825875267386437e-4,Southern New England
October,OCS-A 0486,4.1680622473359115e-4,Southern New England
September,OCS-A 0486,2.825609035789968e-4,Southern New England
April,OCS-A 0486,6.251534968614585e-4,Coastwide
August,OCS-A 0486,2.5694259908050318e-5,Coastwide
December,OCS-A 0486,3.850823715329172e-4,Coastwide
February,OCS-A 0486,8.360975086688999e-4,Coastwide
January,OCS-A 0486,7.37328350543976e-4,Coastwide
July,OCS-A 0486,1.853387132287029e-4,Coastwide
June,OCS-A 0486,2.2799034789204725e-4,Coastwide
March,OCS-A 0486,6.92447423934939e-4,Coastwide
May,OCS-A 0486,4.708900526165964e-4,Coastwide
November,OCS-A 0486,1.6587531939148923e-4,Coastwide
October,OCS-A 0486,8.842982351779945e-5,Coastwide
September,OCS-A 0486,2.8367161750793496e-5,Coastwide
April,OCS-A 0517,0.00691553509235382,0km
August,OCS-A 0517,2.0348870381712913e-4,0km
December,OCS-A 0517,0.0028271882832050324,0km
February,OCS-A 0517,0.007575844526290894,0km
January,OCS-A 0517,0.00552459591627121,0km
July,OCS-A 0517,2.1059722453355787e-4,0km
June,OCS-A 0517,5.462390780448913e-4,0km
March,OCS-A 0517,0.007778856992721557,0km
May,OCS-A 0517,0.002704751193523407,0km
November,OCS-A 0517,9.31267037987709e-4,0km
October,OCS-A 0517,5.915402695536613e-4,0km
September,OCS-A 0517,3.4083868190646174e-4,0km
April,OCS-A 0517,0.008350436508655548,10km
August,OCS-A 0517,2.557474728673697e-4,10km
December,OCS-A 0517,0.004210466802120209,10km
February,OCS-A 0517,0.009485769867897034,10km
January,OCS-A 0517,0.00696630871295929,10km
July,OCS-A 0517,2.7361238002777103e-4,10km
June,OCS-A 0517,6.99170783162117e-4,10km
March,OCS-A 0517,0.009863056838512421,10km
May,OCS-A 0517,0.003454951524734497,10km
November,OCS-A 0517,0.0012269594818353653,10km
October,OCS-A 0517,7.338495552539827e-4,10km
September,OCS-A 0517,4.181241281330586e-4,10km
April,OCS-A 0517,0.008053163170814514,40km
August,OCS-A 0517,2.7055530622601515e-4,40km
December,OCS-A 0517,0.003884789705276491,40km
February,OCS-A 0517,0.009097572207450867,40km
January,OCS-A 0517,0.006909263014793398,40km
July,OCS-A 0517,2.93490830808878e-4,40km
June,OCS-A 0517,7.229597121477128e-4,40km
March,OCS-A 0517,0.009211726784706118,40km
May,OCS-A 0517,0.0035602691769599923,40km
November,OCS-A 0517,0.0012106507122516634,40km
October,OCS-A 0517,7.683682739734651e-4,40km
September,OCS-A 0517,4.1191078722476967e-4,40km
April,OCS-A 0517,0.0043334742188453675,Southern New England
August,OCS-A 0517,1.9587413035333174e-4,Southern New England
